year,zipcode,ZRI,lat,lon
2018,10002,4266,40.715776,-73.986211
2018,10003,4367,40.731829,-73.989181
2018,10004,4344,40.688874,-74.018213
2018,10005,4204,40.706004,-74.008785
2018,10006,3719,40.709627,-74.012972
2018,10007,4838,40.713858,-74.007777
2018,10009,4080,40.726399,-73.978633
2018,10010,3751,40.739104,-73.982455
2018,10011,4678,40.742043,-74.00062
2018,10012,4860,40.725581,-73.998078
2018,10013,5742,40.720103,-74.004901
2018,10014,5061,40.734012,-74.006746
2018,10016,3950,40.745221,-73.978294
2018,10017,3550,40.752359,-73.972489
2018,10018,3956,40.755332,-73.993139
2018,10019,3895,40.765829,-73.987341
2018,10021,4186,40.769225,-73.958741
2018,10022,4129,40.75863,-73.967949
2018,10023,3858,40.775915,-73.982602
2018,10024,4434,40.798452,-73.974414
2018,10025,3660,40.798601,-73.966622
2018,10026,3574,40.802381,-73.952681
2018,10027,3364,40.811407,-73.95306
2018,10028,3504,40.776442,-73.953513
2018,10029,3219,40.791763,-73.94397
2018,10030,3410,40.818267,-73.942856
2018,10031,3604,40.825288,-73.950045
2018,10032,3028,40.838792,-73.94283
2018,10033,2882,40.850482,-73.934051
2018,10034,2748,40.867076,-73.924312
2018,10035,3051,40.795458,-73.92957
2018,10036,3809,40.759254,-73.989827
2018,10038,4158,40.709341,-74.00254
2018,10039,2854,40.830869,-73.936216
2018,10040,2609,40.858314,-73.930494
2018,10128,3530,40.781428,-73.95001
2018,10301,2244,40.627505,-74.094377
2018,10302,2233,40.630716,-74.137729
2018,10303,2203,40.629885,-74.17413
2018,10304,2249,40.605965,-74.093535
2018,10305,2293,40.596549,-74.075779
2018,10306,2254,40.571768,-74.12595
2018,10307,2250,40.508839,-74.240575
2018,10308,2252,40.551884,-74.147646
2018,10309,2254,40.531346,-74.219857
2018,10310,2237,40.63265,-74.116148
2018,10312,2241,40.544473,-74.182367
2018,10314,2259,40.599263,-74.165748
2018,10451,1945,40.820454,-73.925066
2018,10456,1974,40.829886,-73.908121
2018,10457,1905,40.847162,-73.898663
2018,10459,1927,40.825856,-73.892941
2018,10461,1849,40.847394,-73.840583
2018,10462,1846,40.843267,-73.860417
2018,10463,2130,40.880678,-73.90654
2018,10464,2060,40.869594,-73.795848
2018,10465,1909,40.824018,-73.823469
2018,10466,1977,40.890964,-73.846239
2018,10467,1836,40.869953,-73.865765
2018,10469,1845,40.86861,-73.848137
2018,10470,1899,40.889526,-73.872586
2018,10473,1905,40.81869,-73.858474
2018,11004,2668,40.746205,-73.711482
2018,11101,2442,40.74756,-73.938942
2018,11102,2381,40.772884,-73.926295
2018,11103,2375,40.762576,-73.913458
2018,11104,2454,40.744647,-73.920203
2018,11105,2357,40.778971,-73.90625
2018,11106,2375,40.762211,-73.931528
2018,11201,3191,40.6937,-73.989859
2018,11203,2290,40.64959,-73.934374
2018,11204,2397,40.618777,-73.984831
2018,11205,2816,40.694662,-73.966241
2018,11206,2596,40.701954,-73.942358
2018,11207,2230,40.670757,-73.894209
2018,11208,2204,40.668564,-73.87099
2018,11209,2581,40.621993,-74.030134
2018,11210,2449,40.628144,-73.946323
2018,11211,2866,40.712597,-73.953098
2018,11212,2256,40.662932,-73.913019
2018,11213,2489,40.671079,-73.936342
2018,11214,2342,40.599148,-73.99609
2018,11215,2941,40.662688,-73.98674
2018,11216,2536,40.680769,-73.949313
2018,11217,3024,40.682306,-73.978099
2018,11218,2615,40.643477,-73.976042
2018,11219,2448,40.632667,-73.996669
2018,11220,2529,40.641087,-74.016552
2018,11221,2528,40.69134,-73.927879
2018,11222,2816,40.72779,-73.947605
2018,11223,2428,40.597143,-73.973426
2018,11224,2397,40.577372,-73.988706
2018,11225,2644,40.663046,-73.954219
2018,11226,2482,40.646448,-73.956649
2018,11228,2476,40.616698,-74.013066
2018,11229,2399,40.601293,-73.944493
2018,11230,2519,40.622164,-73.96511
2018,11231,3002,40.677916,-74.005154
2018,11232,2535,40.657708,-74.004377
2018,11233,2364,40.678302,-73.919936
2018,11234,2283,40.606436,-73.909725
2018,11235,2410,40.583949,-73.949096
2018,11236,2245,40.639413,-73.900664
