,year,zipcode,ZRI,lat,lon
128259,2018,1001,1680.0,42.062368,-72.625754
128260,2018,1002,2399.0,42.364031,-72.458759
128261,2018,1005,1542.0,42.418884000000006,-72.112077
128262,2018,1007,1897.0,42.27901,-72.400468
128263,2018,1008,1664.0,42.190191,-72.954263
128264,2018,1010,1938.0,42.128176,-72.205352
128265,2018,1011,1473.0,42.290128,-72.966516
128266,2018,1013,1452.0,42.154903000000004,-72.602804
128267,2018,1020,1481.0,42.172610999999996,-72.56192
128268,2018,1026,2151.0,42.465495000000004,-72.918267
128269,2018,1027,1711.0,42.295008,-72.75187700000001
128270,2018,1028,1942.0,42.062378,-72.498111
128271,2018,1030,1758.0,42.072925,-72.686972
128272,2018,1033,1729.0,42.244949,-72.50014300000001
128273,2018,1034,1864.0,42.093911999999996,-72.96110300000001
128274,2018,1035,2393.0,42.356491,-72.568632
128275,2018,1036,2015.0,42.071188,-72.41771800000001
128276,2018,1038,2216.0,42.379925,-72.604045
128277,2018,1040,1500.0,42.211656,-72.642448
128278,2018,1050,1725.0,42.286762,-72.869695
128279,2018,1053,2133.0,42.356301,-72.713584
128280,2018,1054,2173.0,42.468897999999996,-72.48457900000001
128281,2018,1056,1565.0,42.183577,-72.457812
128282,2018,1057,1782.0,42.093596000000005,-72.321494
128283,2018,1060,2058.0,42.321251000000004,-72.630395
128284,2018,1062,1852.0,42.323033,-72.701789
128285,2018,1068,1720.0,42.350862,-72.044248
128286,2018,1069,1447.0,42.188862,-72.30648000000001
128287,2018,1071,1667.0,42.160064,-72.87384
128288,2018,1072,1950.0,42.456967999999996,-72.417244
128289,2018,1073,1824.0,42.226949,-72.74158800000001
128290,2018,1075,1683.0,42.256532,-72.580248
128291,2018,1077,1833.0,42.05257,-72.777353
128292,2018,1080,1404.0,42.185727,-72.361558
128293,2018,1081,1605.0,42.061313,-72.234411
128294,2018,1082,1655.0,42.299749,-72.279164
128295,2018,1083,1463.0,42.203641999999995,-72.194599
128296,2018,1085,1744.0,42.153503,-72.771602
128297,2018,1089,1692.0,42.125451,-72.649734
128298,2018,1095,2026.0,42.138527,-72.420703
128299,2018,1096,2118.0,42.397138,-72.763554
128300,2018,1098,2123.0,42.394315,-72.943115
128301,2018,1104,1446.0,42.134009000000006,-72.56537800000001
128302,2018,1105,1463.0,42.099958,-72.580765
128303,2018,1106,2513.0,42.048054,-72.569275
128304,2018,1107,1468.0,42.12106,-72.607068
128305,2018,1108,1582.0,42.080692,-72.56079100000001
128306,2018,1109,1458.0,42.119673999999996,-72.549726
128307,2018,1118,1587.0,42.094587,-72.52521899999999
128308,2018,1119,1476.0,42.124978000000006,-72.51120999999999
128309,2018,1128,1522.0,42.092296000000005,-72.489135
128310,2018,1129,1503.0,42.118671,-72.488203
128311,2018,1151,1448.0,42.15186,-72.50913100000001
128312,2018,1201,1304.0,42.448236,-73.27372700000001
128313,2018,1220,1207.0,42.623808000000004,-73.116741
128314,2018,1223,1753.0,42.312225,-73.110124
128315,2018,1225,1602.0,42.563401,-73.153335
128316,2018,1226,1549.0,42.481119,-73.13507299999999
128317,2018,1235,1679.0,42.425677,-73.063028
128318,2018,1237,1664.0,42.537915000000005,-73.271649
128319,2018,1247,1208.0,42.698526,-73.0843
128320,2018,1267,1799.0,42.671617,-73.246981
128321,2018,1270,1648.0,42.515271999999996,-73.031166
128322,2018,1301,1732.0,42.626761,-72.60153000000001
128323,2018,1330,1932.0,42.513946999999995,-72.821517
128324,2018,1331,1351.0,42.562394,-72.19104399999999
128325,2018,1337,1802.0,42.689307,-72.582289
128326,2018,1338,1813.0,42.572488,-72.824145
128327,2018,1339,1827.0,42.603776,-72.88964399999999
128328,2018,1340,1775.0,42.694731,-72.71095600000001
128329,2018,1341,2035.0,42.492124,-72.709827
128330,2018,1344,1735.0,42.613417999999996,-72.426428
128331,2018,1351,1845.0,42.53988,-72.521689
128332,2018,1354,1801.0,42.624101,-72.508607
128333,2018,1360,1813.0,42.677091,-72.453876
128334,2018,1364,1693.0,42.605437,-72.292074
128335,2018,1366,1691.0,42.475621000000004,-72.192468
128336,2018,1368,1404.0,42.679456,-72.176935
128337,2018,1370,1871.0,42.593376,-72.726928
128338,2018,1373,2065.0,42.475481,-72.615403
128339,2018,1375,2155.0,42.466691,-72.546751
128340,2018,1376,1680.0,42.595279999999995,-72.555002
128341,2018,1420,1539.0,42.584925,-71.816862
128342,2018,1430,1597.0,42.657005,-71.92344200000001
128343,2018,1431,2056.0,42.676293,-71.832523
128344,2018,1432,2208.0,42.564663,-71.567298
128345,2018,1440,1459.0,42.588337,-71.986069
128346,2018,1450,2502.0,42.611636,-71.564743
128347,2018,1451,3198.0,42.501908,-71.568201
128348,2018,1452,1687.0,42.495111,-72.002339
128349,2018,1453,1750.0,42.519967,-71.763319
128350,2018,1460,2510.0,42.535931,-71.490569
128351,2018,1462,1886.0,42.582607,-71.720464
128352,2018,1463,2244.0,42.670643,-71.602858
128353,2018,1464,2258.0,42.573654,-71.640986
128354,2018,1468,1529.0,42.542767,-72.068345
128355,2018,1469,2079.0,42.664794,-71.69505500000001
128356,2018,1473,1747.0,42.5546,-71.90544
128357,2018,1474,2085.0,42.669685,-71.752751
128358,2018,1475,1463.0,42.66816,-72.055644
128359,2018,1501,1741.0,42.198708,-71.846006
128360,2018,1503,2346.0,42.384929,-71.633889
128361,2018,1504,1773.0,42.039991,-71.53240600000001
128362,2018,1505,2232.0,42.355049,-71.716157
128363,2018,1506,1522.0,42.180807,-72.107888
128364,2018,1507,1752.0,42.133935,-71.968025
128365,2018,1510,1796.0,42.411887,-71.690005
128366,2018,1515,1542.0,42.209682,-72.040178
128367,2018,1516,1850.0,42.053072,-71.752241
128368,2018,1518,1806.0,42.127477,-72.118818
128369,2018,1519,2362.0,42.203404,-71.679739
128370,2018,1520,1920.0,42.336385,-71.850759
128371,2018,1521,1624.0,42.046783000000005,-72.180212
128372,2018,1522,1863.0,42.375634000000005,-71.86738199999999
128373,2018,1523,2036.0,42.483569,-71.675585
128374,2018,1524,1657.0,42.249635999999995,-71.919248
128375,2018,1527,1774.0,42.192246000000004,-71.777649
128376,2018,1529,1891.0,42.036642,-71.578779
128377,2018,1532,2441.0,42.323342,-71.646236
128378,2018,1534,2001.0,42.142074,-71.643348
128379,2018,1535,1560.0,42.267564,-72.06687600000001
128380,2018,1536,1942.0,42.231309,-71.692642
128381,2018,1537,1624.0,42.158966,-71.897051
128382,2018,1540,1607.0,42.116263000000004,-71.857465
128383,2018,1541,2000.0,42.454125,-71.87754
128384,2018,1542,1681.0,42.204251,-71.908907
128385,2018,1543,1687.0,42.388284999999996,-71.969865
128386,2018,1545,2236.0,42.284766999999995,-71.714228
128387,2018,1550,1458.0,42.059737,-72.033908
128388,2018,1560,2183.0,42.175395,-71.674223
128389,2018,1562,1592.0,42.247211,-71.991867
128390,2018,1564,1953.0,42.447924,-71.776045
128391,2018,1566,1733.0,42.103214,-72.079545
128392,2018,1568,2266.0,42.176526,-71.603588
128393,2018,1569,1889.0,42.055921000000005,-71.631128
128394,2018,1570,1504.0,42.047532000000004,-71.846952
